,TP,CL,CF,SF,FA
0,1,1000003,2001470,3002524,4004627
1,1,1000003,2001470,3002524,4004627
2,1,1000002,2000016,3001156,4003986
3,1,1000002,2000016,3001156,4003632
4,1,1000002,2000016,3001156,4002481
5,1,1000002,2000016,3001156,4003632
6,1,1000002,2000016,3001156,4003632
7,1,1000002,2000016,3001156,4003632
8,1,1000002,2000016,3001156,4003632
9,1,1000002,2000016,3001156,4003632
10,1,1000002,2000016,3001156,4003632
11,1,1000002,2000016,3001156,4003632
12,1,1000002,2000016,3001156,4003632
13,1,1000002,2000016,3001156,4003632
14,1,1000002,2000016,3001156,4003632
15,1,1000002,2000016,3001156,4003632
16,1,1000002,2000016,3001156,4003632
17,1,1000002,2000016,3001156,4003632
18,1,1000002,2000016,3001156,4003632
19,1,1000002,2000016,3001156,4003632
20,1,1000002,2000016,3001156,4002478
21,1,1000002,2000016,3001156,4003632
22,1,1000002,2000016,3001156,4003632
23,1,1000002,2000016,3001156,4003632
24,1,1000002,2000016,3001156,4003632
25,1,1000002,2000016,3001156,4002938
26,1,1000002,2000016,3001156,4003632
27,1,1000002,2000016,3001156,4003632
28,1,1000002,2000016,3001156,4003632
29,1,1000002,2000016,3001156,4003632
30,1,1000002,2000016,3001156,4003632
31,1,1000002,2000016,3001156,4003632
32,1,1000002,2000016,3001156,4003632
33,1,1000002,2000016,3001156,4003632
34,1,1000002,2000016,3001156,4003632
35,1,1000002,2000016,3001156,4003632
36,1,1000002,2000016,3001156,4003632
37,1,1000002,2000016,3001156,4003632
38,1,1000002,2000016,3001156,4003632
39,1,1000002,2000016,3001156,4003632
40,1,1000002,2000016,3001156,4003653
41,1,1000002,2000016,3001156,4003685
42,1,1000002,2000016,3001156,4003632
43,1,1000002,2000016,3001156,4003986
44,1,1000002,2000016,3001156,4003986
45,1,1000002,2000016,3001156,4003986
46,1,1000002,2000016,3001156,4003986
47,1,1000002,2000016,3001156,4003986
48,1,1000002,2000016,3001156,4003632
49,1,1000002,2000016,3001156,4003632
50,1,1000002,2000016,3001156,4003632
51,1,1000002,2000016,3001156,4003632
52,1,1000002,2000016,3001156,4003632
53,1,1000002,2000016,3001156,4003632
54,1,1000002,2000016,3001156,4003632
55,1,1000002,2000016,3001156,4003632
56,1,1000002,2000016,3001156,4003632
57,1,1000002,2000016,3001156,4003632
58,1,1000002,2000016,3001156,4003632
59,1,1000002,2000016,3001156,4003632
60,1,1000002,2000016,3001156,4003632
61,1,1000002,2000016,3001156,4003632
62,1,1000002,2000016,3001156,4003632
63,1,1000002,2000016,3001156,4003632
64,1,1000002,2000016,3001156,4003632
65,1,1000002,2000016,3001156,4003632
66,1,1000002,2000016,3001156,4003632
67,1,1000002,2000016,3001156,4003632
68,1,1000002,2000016,3001156,4003632
69,1,1000002,2000016,3001156,4003632
70,1,1000002,2000016,3001156,4003632
71,1,1000002,2000016,3001156,4003632
72,1,1000002,2000016,3001156,4003632
73,1,1000002,2000016,3001156,4003632
74,1,1000002,2000016,3001156,4003632
75,1,1000002,2000016,3001156,4003632
76,1,1000002,2000016,3001156,4003632
77,1,1000002,2000016,3001156,4003632
78,1,1000002,2000016,3001156,4003632
79,1,1000002,2000016,3001156,4003632
80,1,1000002,2000016,3001156,4003632
81,1,1000002,2000016,3001156,4003632
82,1,1000002,2000016,3001156,4003632
83,1,1000002,2000016,3001156,4003632
84,1,1000002,2000016,3001156,4003632
85,1,1000002,2000016,3001156,4003632
86,1,1000002,2000016,3001156,4003632
87,1,1000002,2000016,3001156,4003632
88,1,1000002,2000016,3001156,4003632
89,1,1000002,2000016,3001156,4003632
90,1,1000002,2000016,3001156,4003632
91,1,1000002,2000016,3001156,4003632
92,1,1000002,2000016,3001156,4003632
93,1,1000002,2000016,3001156,4003632
94,1,1000002,2000016,3001156,4003632
95,1,1000002,2000016,3001156,4003632
96,1,1000002,2000016,3001156,4003632
97,1,1000002,2000016,3001156,4003632
98,1,1000002,2000016,3001156,4003632
99,1,1000002,2000016,3001156,4003632
100,1,1000002,2000016,3001156,4003632
101,1,1000002,2000016,3001156,4003632
102,1,1000002,2000016,3001156,4003632
103,1,1000002,2000016,3001156,4003632
104,1,1000002,2000016,3001156,4003632
105,1,1000002,2000016,3001156,4003632
106,1,1000002,2000016,3001156,4003632
107,1,1000002,2000016,3001156,4003632
108,1,1000002,2000016,3001156,4003632
109,1,1000002,2000016,3001156,4003632
110,1,1000002,2000016,3001156,4003632
111,1,1000002,2000016,3001156,4003632
112,1,1000002,2000016,3001156,4003632
113,1,1000002,2000016,3001156,4003632
114,1,1000002,2000016,3001156,4003632
115,1,1000002,2000016,3001156,4003632
116,1,1000002,2000016,3001156,4003632
117,1,1000002,2000016,3001156,4003632
118,1,1000002,2000016,3001156,4003632
119,1,1000002,2000016,3001156,4003632
120,1,1000002,2000016,3001156,4003632
121,1,1000002,2000016,3001156,4003632
122,1,1000002,2000016,3001156,4003632
123,1,1000002,2000016,3001156,4003632
124,1,1000002,2000016,3001156,4003632
125,1,1000002,2000016,3001156,4003632
126,1,1000002,2000016,3001156,4003632
127,1,1000002,2000016,3001156,4003632
128,1,1000002,2000016,3001156,4003632
129,1,1000002,2000016,3001156,4003632
130,1,1000002,2000016,3001156,4003632
131,1,1000002,2000016,3001156,4003632
132,1,1000002,2000016,3001156,4003632
133,1,1000002,2000016,3001156,4003632
134,1,1000002,2000016,3001156,4003632
135,1,1000002,2000016,3001156,4003632
136,1,1000002,2000016,3001156,4003632
137,1,1000002,2000016,3001156,4003632
138,1,1000002,2000016,3001156,4003632
139,1,1000002,2000016,3001156,4003632
140,1,1000002,2000016,3001156,4003632
141,1,1000002,2000016,3001156,4003632
142,1,1000002,2000016,3001156,4003632
143,1,1000002,2000016,3001156,4003632
144,1,1000002,2000016,3001156,4003632
145,1,1000002,2000016,3001156,4003632
