,layer,accuracy_score,precision_score,recall_score,f1_score
0,0,0.3878116343490305,0.41913197120224377,0.3878116343490305,0.3877968228978736
1,1,0.9667590027700831,0.9669283920349936,0.9667590027700831,0.9667895816095261
2,2,0.8614958448753463,0.8612653063687771,0.8614958448753463,0.8613378038376578
3,3,0.9861495844875346,0.9864656580723064,0.9861495844875346,0.9862070946253301
4,4,0.9307479224376731,0.9306979513667087,0.9307479224376731,0.9307103354868401
5,5,0.9168975069252078,0.9171477002564183,0.9168975069252078,0.9169739540238155
6,6,0.9556786703601108,0.9556786703601108,0.9556786703601108,0.9556786703601108
7,7,1.0,1.0,1.0,1.0
8,8,0.9806094182825484,0.9806561859193439,0.9806094182825484,0.9806188706988224
9,9,1.0,1.0,1.0,1.0
10,10,0.9944598337950139,0.9944598337950139,0.9944598337950139,0.9944598337950139
11,11,1.0,1.0,1.0,1.0
12,12,1.0,1.0,1.0,1.0
13,13,1.0,1.0,1.0,1.0
14,14,1.0,1.0,1.0,1.0
15,15,0.9750692520775623,0.9756048866919754,0.9750692520775623,0.9749876746295572
16,16,0.9445983379501385,0.9450911635814684,0.9445983379501385,0.9443714307497377
17,17,0.9418282548476454,0.9422101497996397,0.9418282548476454,0.9419037351754727
18,18,0.9362880886426593,0.9383098879381137,0.9362880886426593,0.9357096702336818
19,19,1.0,1.0,1.0,1.0
20,20,1.0,1.0,1.0,1.0
21,21,1.0,1.0,1.0,1.0
22,22,0.997229916897507,0.9972578975349059,0.997229916897507,0.9972289415447524
23,23,1.0,1.0,1.0,1.0
24,24,1.0,1.0,1.0,1.0
25,25,0.9750692520775623,0.9752299023754462,0.9750692520775623,0.9750244967569346
26,26,1.0,1.0,1.0,1.0
27,27,1.0,1.0,1.0,1.0
28,28,1.0,1.0,1.0,1.0
29,29,0.9889196675900277,0.9890326017472831,0.9889196675900277,0.988922865377159
30,30,1.0,1.0,1.0,1.0
31,31,1.0,1.0,1.0,1.0
32,32,1.0,1.0,1.0,1.0
33,33,0.997229916897507,0.997255805524633,0.997229916897507,0.9972293166628151
34,34,1.0,1.0,1.0,1.0
35,35,1.0,1.0,1.0,1.0
36,36,1.0,1.0,1.0,1.0
37,37,1.0,1.0,1.0,1.0
38,38,1.0,1.0,1.0,1.0
39,39,1.0,1.0,1.0,1.0
40,40,1.0,1.0,1.0,1.0
41,41,0.9944598337950139,0.9946137273007079,0.9944598337950139,0.9944702914922209
42,42,1.0,1.0,1.0,1.0
43,43,1.0,1.0,1.0,1.0
44,44,1.0,1.0,1.0,1.0
45,45,1.0,1.0,1.0,1.0
46,46,1.0,1.0,1.0,1.0
47,47,1.0,1.0,1.0,1.0
48,48,1.0,1.0,1.0,1.0
