,layer,accuracy_score,precision_score,recall_score,f1_score
0,0,0.2845878136200717,0.2960735571726345,0.2845878136200717,0.28177297115773003
1,1,0.2802867383512545,0.29494383607555413,0.2802867383512545,0.27915767700357885
2,2,0.2778494623655914,0.28774983138483384,0.2778494623655914,0.27402061515099496
3,3,0.28372759856630825,0.29074455159953666,0.28372759856630825,0.27964673694842784
4,4,0.2768458781362007,0.2851272708722974,0.2768458781362007,0.2723165480471636
5,5,0.2843010752688172,0.2927905481930886,0.2843010752688172,0.28009851374394257
6,6,0.2721146953405018,0.2812343475498117,0.2721146953405018,0.2692747271045784
7,7,0.28043010752688174,0.29009098769387553,0.28043010752688174,0.27557269943888835
8,8,0.2828673835125448,0.290092048586039,0.2828673835125448,0.27937831430352267
9,9,0.27297491039426525,0.2844593157833929,0.27297491039426525,0.26976432832653285
10,10,0.2771326164874552,0.28538356691989697,0.2771326164874552,0.2728986440454502
11,11,0.27254480286738353,0.2825304437857471,0.27254480286738353,0.26964922279602804
12,12,0.2756989247311828,0.28609028495630257,0.2756989247311828,0.2728200214561692
13,13,0.2709677419354839,0.2787143250598076,0.2709677419354839,0.2650297614427586
14,14,0.2820071684587814,0.2890220176920902,0.2820071684587814,0.2786221850722401
15,15,0.28415770609318997,0.2929916823806549,0.28415770609318997,0.2800934710995495
16,16,0.2745519713261649,0.2805232144104149,0.2745519713261649,0.268206166957999
17,17,0.27956989247311825,0.2936390352905131,0.27956989247311825,0.2795348763756561
18,18,0.27268817204301077,0.28889663860118314,0.27268817204301077,0.27155395732295395
19,19,0.27913978494623654,0.293533068640593,0.27913978494623654,0.2772747434804504
20,20,0.2771326164874552,0.29180364346606197,0.2771326164874552,0.2768113447067385
21,21,0.27297491039426525,0.28909307937094836,0.27297491039426525,0.27243621203303425
22,22,0.27512544802867384,0.28564102514788436,0.27512544802867384,0.2728512721739368
23,23,0.279426523297491,0.2871337710179425,0.279426523297491,0.2750252603711924
24,24,0.2754121863799283,0.2858401454399705,0.2754121863799283,0.272083198148163
25,25,0.2703942652329749,0.2829196133540119,0.2703942652329749,0.26837695629932146
26,26,0.2675268817204301,0.27688510869931576,0.2675268817204301,0.2644135798767194
27,27,0.27741935483870966,0.2902252440887257,0.27741935483870966,0.2752117101756338
28,28,0.2860215053763441,0.29642425422314234,0.2860215053763441,0.2833067036555539
29,29,0.2735483870967742,0.28399902597693405,0.2735483870967742,0.2701826992430838
30,30,0.27268817204301077,0.2838563436096083,0.27268817204301077,0.26992208770847376
31,31,0.2754121863799283,0.2841470834909783,0.2754121863799283,0.2728020906074073
32,32,0.28888888888888886,0.300806433132002,0.28888888888888886,0.28728865875099235
33,33,0.280573476702509,0.29396742725350883,0.280573476702509,0.2785140626665308
34,34,0.27369175627240144,0.28919289921065056,0.27369175627240144,0.2723578627126193
35,35,0.272831541218638,0.2879813769956066,0.272831541218638,0.27185973021578996
36,36,0.26623655913978495,0.2825854953613886,0.26623655913978495,0.26616466163218677
