,layer,accuracy_score,precision_score,recall_score,f1_score
0,0,1.0,1.0,1.0,1.0
1,1,1.0,1.0,1.0,1.0
2,2,1.0,1.0,1.0,1.0
3,3,0.9959677419354839,0.9960738539898133,0.9959677419354839,0.9959691030352525
4,4,1.0,1.0,1.0,1.0
5,5,0.9959677419354839,0.996066089693155,0.9959677419354839,0.9959811116800364
6,6,1.0,1.0,1.0,1.0
7,7,0.9596774193548387,0.9605430203704772,0.9596774193548387,0.9599762406572606
8,8,0.9959677419354839,0.9960130482058717,0.9959677419354839,0.9959515142890668
9,9,1.0,1.0,1.0,1.0
10,10,0.9919354838709677,0.9919834869431644,0.9919354838709677,0.9919360357625763
11,11,1.0,1.0,1.0,1.0
12,12,1.0,1.0,1.0,1.0
13,13,1.0,1.0,1.0,1.0
14,14,1.0,1.0,1.0,1.0
15,15,1.0,1.0,1.0,1.0
16,16,0.9959677419354839,0.9960738539898133,0.9959677419354839,0.9959691030352525
17,17,1.0,1.0,1.0,1.0
18,18,1.0,1.0,1.0,1.0
19,19,1.0,1.0,1.0,1.0
20,20,1.0,1.0,1.0,1.0
21,21,1.0,1.0,1.0,1.0
22,22,1.0,1.0,1.0,1.0
23,23,1.0,1.0,1.0,1.0
24,24,1.0,1.0,1.0,1.0
25,25,1.0,1.0,1.0,1.0
26,26,1.0,1.0,1.0,1.0
27,27,1.0,1.0,1.0,1.0
28,28,0.9959677419354839,0.9960157450076805,0.9959677419354839,0.9959682938270924
29,29,1.0,1.0,1.0,1.0
30,30,1.0,1.0,1.0,1.0
31,31,1.0,1.0,1.0,1.0
32,32,1.0,1.0,1.0,1.0
33,33,1.0,1.0,1.0,1.0
34,34,1.0,1.0,1.0,1.0
35,35,1.0,1.0,1.0,1.0
36,36,1.0,1.0,1.0,1.0
