,layer,accuracy_score,precision_score,recall_score,f1_score
0,0,0.9030470914127424,0.9073524277297672,0.9030470914127424,0.9040758388731235
1,1,0.9168975069252078,0.91901282777137,0.9168975069252078,0.9167245121446572
2,2,0.9335180055401662,0.9343525589941813,0.9335180055401662,0.9335424736146187
3,3,0.9196675900277008,0.9192471041500337,0.9196675900277008,0.9193040353125727
4,4,0.9196675900277008,0.9217150653488758,0.9196675900277008,0.9198803076004147
5,5,0.8559556786703602,0.8588626782625973,0.8559556786703602,0.857103323459952
6,6,0.9085872576177285,0.9099013771651009,0.9085872576177285,0.9091134812308975
7,7,0.9196675900277008,0.9217713794542864,0.9196675900277008,0.9190927865058865
8,8,0.9224376731301939,0.9255105005797526,0.9224376731301939,0.9232609521648282
9,9,0.8698060941828255,0.866684517341295,0.8698060941828255,0.8678468617363843
10,10,0.8753462603878116,0.8784659891980794,0.8753462603878116,0.8766530700752345
11,11,0.9224376731301939,0.9242922730698004,0.9224376731301939,0.9227561586205876
12,12,0.8975069252077562,0.8972888236256898,0.8975069252077562,0.8971627016900021
13,13,0.9473684210526315,0.9477693337433224,0.9473684210526315,0.9475302036765005
14,14,0.9141274238227147,0.9172735253910489,0.9141274238227147,0.9144950055498564
15,15,0.8559556786703602,0.8590634320761544,0.8559556786703602,0.8564291202136636
16,16,0.8670360110803325,0.8685736747662754,0.8670360110803325,0.8675446344911486
17,17,0.7867036011080333,0.796023078039632,0.7867036011080333,0.7894853188965976
18,18,0.7977839335180056,0.8069751244788176,0.7977839335180056,0.8018104221154553
19,19,0.9085872576177285,0.9096019565271642,0.9085872576177285,0.9086871884655818
20,20,0.8670360110803325,0.8716616333076458,0.8670360110803325,0.8678631092195084
21,21,0.9002770083102493,0.8998205715947705,0.9002770083102493,0.8999590815987591
22,22,0.9002770083102493,0.9033089554861039,0.9002770083102493,0.9012789826372152
23,23,0.8836565096952909,0.8815389732362765,0.8836565096952909,0.8818674846742294
24,24,0.8781163434903048,0.8788535517887641,0.8781163434903048,0.878171118745105
25,25,0.9085872576177285,0.9080271455960549,0.9085872576177285,0.9078480311652403
26,26,0.7340720221606648,0.7336567774470405,0.7340720221606648,0.7337599789472967
27,27,0.8614958448753463,0.864888903777872,0.8614958448753463,0.8622206519291766
28,28,0.8836565096952909,0.8825923999054193,0.8836565096952909,0.8827012788225029
29,29,0.8310249307479224,0.8339064224350193,0.8310249307479224,0.8318335492284449
30,30,0.7894736842105263,0.7951565551881444,0.7894736842105263,0.7914924318654131
31,31,0.7534626038781164,0.7517475251654849,0.7534626038781164,0.7520294409920378
32,32,0.8808864265927978,0.879645467735926,0.8808864265927978,0.8795113653271589
33,33,0.8836565096952909,0.8839792024371814,0.8836565096952909,0.8831865050481714
34,34,0.9390581717451524,0.9395011143645556,0.9390581717451524,0.9391626405881855
35,35,0.8864265927977839,0.8874783642238978,0.8864265927977839,0.8866333458487037
36,36,0.7867036011080333,0.7899246217396371,0.7867036011080333,0.7881365598305486
