,layer,silhouette_score
0,0,0.18545820325601578
1,1,0.5942331497578148
2,2,0.5665276917764962
3,3,0.5773778461362717
4,4,0.5944458585872479
5,5,0.602728761241725
6,6,0.6281145007456894
7,7,0.6518106900313847
8,8,0.6573499855825247
9,9,0.6395122055515342
10,10,0.6459504183553942
11,11,0.6562949804733884
12,12,0.6766909329653599
13,13,0.6860296454824398
14,14,0.7269066895760896
15,15,0.8064200738235725
16,16,0.8169521381651044
17,17,0.8714111553255516
18,18,0.8845541749218535
19,19,0.8964695214997566
20,20,0.9032489341397127
21,21,0.9091340446252941
22,22,0.9042946271574425
23,23,0.8847334563685939
24,24,0.8915474328058973
25,25,0.896554387159682
26,26,0.9055546946889482
27,27,0.9127097877614859
28,28,0.90573874387392
29,29,0.9019057065119717
30,30,0.9189302343414105
31,31,0.917602663105387
32,32,0.9192674320761752
33,33,0.9216200352059979
34,34,0.9100938646432626
35,35,0.9161458835285125
36,36,0.9183502787438247
37,37,0.9119184603266524
38,38,0.9118652060249471
39,39,0.898943590365206
40,40,0.8999686997713457
41,41,0.9039139296240999
42,42,0.9106683752220324
43,43,0.9103268141263094
44,44,0.9062298805454225
45,45,0.902026713349372
46,46,0.9102940910797044
47,47,0.9281713345010221
48,48,0.9161743374244391
