,layer,silhouette_score
0,0,0.29038082476817045
1,1,0.8609300143893374
2,2,0.8853029599029761
3,3,0.9196045037134516
4,4,0.9147843569637717
5,5,0.9268409135487901
6,6,0.9323377976480931
7,7,0.9348292834910393
8,8,0.9423139844920788
9,9,0.9408209494124454
10,10,0.917488043241016
11,11,0.9312255892801404
12,12,0.9676011956683002
13,13,0.9621436876620455
14,14,0.9736169238742837
15,15,0.9772944629127112
16,16,0.9838289517545764
17,17,0.9803316870607648
18,18,0.9873888586583826
19,19,0.9884883815086429
20,20,0.9907764055961916
21,21,0.9890645862774926
22,22,0.99467553586726
23,23,0.994303953826817
24,24,0.9945348415787789
25,25,0.9879676895070362
26,26,0.9960468601731769
27,27,0.9951423994353449
28,28,0.9949378439293244
29,29,0.9940625283917267
30,30,0.991573547286116
31,31,0.9963628145517154
32,32,0.9928146853210843
33,33,0.9952706653561467
34,34,0.9928106643263667
35,35,0.9938772665930068
36,36,0.9955806478112925
37,37,0.9950488281261546
38,38,0.9888109011011925
39,39,0.9794329530749546
40,40,0.9664354650299904
41,41,0.9927451383106709
42,42,0.9906623034220808
43,43,0.9928421798805986
44,44,0.9941001375761138
45,45,0.9921568562622886
46,46,0.9928233536311715
47,47,0.9911681837909367
48,48,0.9896109497702064
