,layer,silhouette_score
0,0,0.44128670475371107
1,1,0.7283240517511643
2,2,0.7589227978082957
3,3,0.8170701714346581
4,4,0.8749129681558112
5,5,0.8913846081421749
6,6,0.9041805744362683
7,7,0.9257898324942073
8,8,0.9460652569284362
9,9,0.9220207593193753
10,10,0.9675604145877232
11,11,0.9766987816074924
12,12,0.9863409836480451
13,13,0.9822648811319947
14,14,0.9881093976427823
15,15,0.9889046985272494
16,16,0.9864041599143786
17,17,0.9937540697479342
18,18,0.9949115612505764
19,19,0.9958438882212625
20,20,0.9914760805068273
21,21,0.9956264837797871
22,22,0.9976873370491434
23,23,0.9978225453450275
24,24,0.9975182685117725
25,25,0.9967730168947295
26,26,0.9902994777583157
27,27,0.993496885948801
28,28,0.9952701268923351
29,29,0.9943208988612534
30,30,0.9959074036014853
31,31,0.99792547976595
32,32,0.9965413646130538
33,33,0.9982583364621109
34,34,0.9967681472732592
35,35,0.9986601342461902
36,36,0.9984508575937923
37,37,0.9981103464525206
38,38,0.9985306220992736
39,39,0.9979980494320176
40,40,0.9969242519164101
41,41,0.9980334704405266
42,42,0.9970008602110928
43,43,0.998087234221745
44,44,0.9965284813017962
45,45,0.9962825642712517
46,46,0.9977072826818193
47,47,0.9957964203397833
48,48,0.9941653115580322
