,layer,silhouette_score
0,0,0.6601575623892277
1,2,0.9131722384930825
2,3,0.921927828551615
3,4,0.9254844575344306
4,5,0.8960038560458408
5,6,0.9144633302261556
6,7,0.9210190953023212
7,8,0.9077415731627653
8,9,0.8327507239104541
9,10,0.9363877445935406
10,11,0.9593681667463044
11,12,0.9689604571983231
12,13,0.9726202652746823
13,14,0.9781028340385151
14,15,0.9830220252767919
15,16,0.9825627874303476
16,17,0.9891153599511461
17,18,0.9865258880826477
18,19,0.9882792935225376
19,20,0.9888831553489758
20,21,0.9889033388916365
21,22,0.9884349846748609
22,23,0.990909323071167
23,24,0.9897528602203763
24,25,0.9887122058358433
25,26,0.9902627044314674
26,27,0.987159903049207
27,28,0.9897765763579506
28,29,0.9895889658325167
29,30,0.9807228831714981
30,31,0.9825035066922116
31,32,0.9889589039544299
32,33,0.988782446603502
33,34,0.9827452494311462
34,35,0.9847179134533404
35,36,0.9830001391377857
36,37,0.975030422684084
37,38,0.9859405280893052
38,39,0.9836717850103825
39,40,0.9826093464897112
40,41,0.9789869394093375
41,42,0.9811832365045756
42,43,0.9689874918111696
43,44,0.9804694006525034
44,45,0.9748623211839162
45,46,0.9781422934987082
46,47,0.9798995532860281
47,48,0.9671975645514228
