,layer,silhouette_score
0,0,0.06663921209372058
1,1,0.1149990320534207
2,2,0.114295561525813
3,3,0.11754715249414724
4,4,0.11680038700992837
5,5,0.11393088824181268
6,6,0.11266297660288764
7,7,0.11013591273471031
8,8,0.10832724435224121
9,9,0.10790494353625885
10,10,0.10865120247933678
11,11,0.11138441503214751
12,12,0.11259524848981176
13,13,0.11595501602007005
14,14,0.1152954326444101
15,15,0.1134694276575247
16,16,0.10912737845013501
17,17,0.105038521124926
18,18,0.09932951767417364
19,19,0.09341655176966301
20,20,0.08647991829746467
21,21,0.08013414992766477
22,22,0.0769869220883787
23,23,0.07518663657520004
24,24,0.07273369721583897
25,25,0.07096137517510226
26,26,0.06789421006141252
27,27,0.06648337536376706
28,28,0.06413740449585897
29,29,0.06276597793851457
30,30,0.06255051207677012
31,31,0.06066458088592993
32,32,0.0600902645244467
33,33,0.05873861194463176
34,34,0.05751387324820602
35,35,0.057079496671170626
36,36,0.060069361214424084
