,layer,accuracy_score,precision_score,recall_score,f1_score
0,0,0.3381468110709988,0.35009012417528873,0.3381468110709988,0.332444947287018
1,1,0.6594464500601684,0.6693466240797216,0.6594464500601684,0.6618462335316148
2,2,0.6389891696750902,0.6417212517700344,0.6389891696750902,0.6370684921378672
3,3,0.6161251504211793,0.6172233582769046,0.6161251504211793,0.6132711137317874
4,4,0.6558363417569194,0.6653681337174429,0.6558363417569194,0.6581694237029098
5,5,0.6353790613718412,0.6492221226291814,0.6353790613718412,0.6389328131370046
6,6,0.6642599277978339,0.6774543541177123,0.6642599277978339,0.665911506037721
7,7,0.6630565583634176,0.6779097430107816,0.6630565583634176,0.6660753888801374
8,8,0.6522262334536703,0.6563885806872566,0.6522262334536703,0.6501433264000683
9,9,0.6642599277978339,0.6804045722879982,0.6642599277978339,0.6676482319698297
10,10,0.6606498194945848,0.676849125587253,0.6606498194945848,0.6656762645272966
11,11,0.6474127557160048,0.6585457244637811,0.6474127557160048,0.6501783308500629
12,12,0.6474127557160048,0.6505901204567578,0.6474127557160048,0.6461925989001801
13,13,0.6931407942238267,0.7026911056373915,0.6931407942238267,0.6947734254643028
14,14,0.690734055354994,0.7035258471037721,0.690734055354994,0.6933006474139357
15,15,0.6799037304452467,0.6852011618445045,0.6799037304452467,0.680470463525592
16,16,0.7316486161251504,0.7329969651874451,0.7316486161251504,0.7295196672346619
17,17,0.7063778580024067,0.702595094630961,0.7063778580024067,0.7028173338210996
18,18,0.6859205776173285,0.6865600515311255,0.6859205776173285,0.6828970828678373
19,19,0.7256317689530686,0.7319396104782342,0.7256317689530686,0.7252526106065595
20,20,0.7424789410348978,0.7486877289414642,0.7424789410348978,0.7405692807067319
21,21,0.7075812274368231,0.7112850719078365,0.7075812274368231,0.7071909045529667
22,22,0.703971119133574,0.697446269995173,0.703971119133574,0.6979504295181166
23,23,0.7135980746089049,0.712261075047527,0.7135980746089049,0.7106529826794884
24,24,0.703971119133574,0.7027265336930735,0.703971119133574,0.6997439555376054
25,25,0.7184115523465704,0.7208042299232338,0.7184115523465704,0.7163821372905318
26,26,0.7545126353790613,0.7526636123451435,0.7545126353790613,0.7506199142215952
27,27,0.7701564380264742,0.7758917896094883,0.7701564380264742,0.7679885778976799
28,28,0.7196149217809867,0.7217764153255662,0.7196149217809867,0.7178089004719538
29,29,0.7340553549939831,0.7312976856513499,0.7340553549939831,0.7321454909755242
30,30,0.7821901323706378,0.7912460750218092,0.7821901323706378,0.7839885635984802
31,31,0.7436823104693141,0.7461870094700845,0.7436823104693141,0.739967489463439
32,32,0.7292418772563177,0.728372678308518,0.7292418772563177,0.7271429275043544
33,33,0.7340553549939831,0.7283220039553084,0.7340553549939831,0.7266932609677185
34,34,0.7208182912154031,0.7215878294880069,0.7208182912154031,0.7178777983761407
35,35,0.7135980746089049,0.7124090432504384,0.7135980746089049,0.7111268089977248
36,36,0.7292418772563177,0.7278785094325749,0.7292418772563177,0.7238421293547485
37,37,0.7027677496991577,0.6992251004221363,0.7027677496991577,0.6992250257931801
38,38,0.7244283995186522,0.7291929537760348,0.7244283995186522,0.7244173760180371
39,39,0.7545126353790613,0.7544533712014554,0.7545126353790613,0.7544535745606695
40,40,0.7677496991576414,0.7667802929322632,0.7677496991576414,0.766180219082963
41,41,0.7737665463297232,0.7798931810411409,0.7737665463297232,0.7744169297335812
42,42,0.7051744885679904,0.7070686839392515,0.7051744885679904,0.7032524883359668
43,43,0.7328519855595668,0.7327130413595957,0.7328519855595668,0.7320113546166134
44,44,0.7087845968712395,0.7072976627989362,0.7087845968712395,0.7060965490174262
45,45,0.7051744885679904,0.7122869267463605,0.7051744885679904,0.7074489439943206
46,46,0.7184115523465704,0.7176029844177717,0.7184115523465704,0.7156330218468336
47,47,0.7123947051744886,0.7126039022801913,0.7123947051744886,0.7103101042633081
48,48,0.7087845968712395,0.7165812120335748,0.7087845968712395,0.7105872796161571
