,layer,accuracy_score,precision_score,recall_score,f1_score
0,0,0.5667870036101083,0.5741610557737906,0.5667870036101083,0.5661271605918774
1,1,0.5643802647412756,0.5579240142270072,0.5643802647412756,0.5579799001256004
2,2,0.5691937424789411,0.5579695472668028,0.5691937424789411,0.5610803543917187
3,3,0.592057761732852,0.574492873732851,0.592057761732852,0.578156599859182
4,4,0.5836341756919374,0.5906039267465288,0.5836341756919374,0.5818426107105217
5,5,0.5595667870036101,0.5587360873342241,0.5595667870036101,0.5555931941354975
6,6,0.5703971119133574,0.560489932992502,0.5703971119133574,0.5615033684209575
7,7,0.5800240673886883,0.5804626147624906,0.5800240673886883,0.5767122800740718
8,8,0.5607701564380265,0.548736341039585,0.5607701564380265,0.5502118461969081
9,9,0.5740072202166066,0.5675117019125612,0.5740072202166066,0.5666437826843389
10,10,0.5547533092659447,0.5636839835139573,0.5547533092659447,0.5564515183458523
11,11,0.592057761732852,0.5869530540105562,0.592057761732852,0.5859429457054366
12,12,0.5860409145607701,0.5679433961711712,0.5860409145607701,0.5727589753961958
13,13,0.5655836341756919,0.5569349979775053,0.5655836341756919,0.5592554570505375
14,14,0.5776173285198556,0.5751870069716133,0.5776173285198556,0.5710686095216121
15,15,0.5716004813477737,0.5791251480208911,0.5716004813477737,0.5711690123380696
16,16,0.5547533092659447,0.5595277068663269,0.5547533092659447,0.5538730205525249
17,17,0.5499398315282792,0.5609581484839127,0.5499398315282792,0.5503889750067724
18,18,0.5776173285198556,0.5718003755587829,0.5776173285198556,0.5702420253521127
19,19,0.5691937424789411,0.5706635379101423,0.5691937424789411,0.5638805613282987
20,20,0.5571600481347774,0.5635593762893353,0.5571600481347774,0.5561797937826127
21,21,0.5415162454873647,0.5359880452723884,0.5415162454873647,0.5355206220574901
22,22,0.5643802647412756,0.5656321340427373,0.5643802647412756,0.5593241620879968
23,23,0.5403128760529483,0.5339662600094367,0.5403128760529483,0.5334961067987349
24,24,0.5403128760529483,0.5447073803032487,0.5403128760529483,0.5378176038451482
25,25,0.555956678700361,0.5558252922999213,0.555956678700361,0.5501396218080631
26,26,0.5836341756919374,0.5637813214248198,0.5836341756919374,0.5681675373713874
27,27,0.5643802647412756,0.5609012151153642,0.5643802647412756,0.557085617873802
28,28,0.5752105896510229,0.570411375327849,0.5752105896510229,0.5660593480826687
29,29,0.5511432009626955,0.546917748590302,0.5511432009626955,0.5418840463884593
30,30,0.6040914560770156,0.6141994330999128,0.6040914560770156,0.6040074234587232
31,31,0.5403128760529483,0.5429163917216214,0.5403128760529483,0.5375497399480631
32,32,0.5439229843561973,0.5582710419593169,0.5439229843561973,0.5465710318026546
33,33,0.5499398315282792,0.566980076875871,0.5499398315282792,0.5542074752602743
34,34,0.5619735258724429,0.5796711880037214,0.5619735258724429,0.5645729076879266
35,35,0.5547533092659447,0.5606760672538712,0.5547533092659447,0.5538825033197324
36,36,0.5499398315282792,0.5640407802711175,0.5499398315282792,0.5544020033776669
