,label_column,label_value,count_samples_in_group,percentage_above_min_value,group
0,TP,1,34872,100.0,HIGH
6867,FA,4002860,2,100.0,HIGH
6889,FA,4003814,2,100.0,HIGH
6890,FA,4002195,2,100.0,HIGH
6891,FA,4001657,2,100.0,HIGH
6892,FA,4003788,1,100.0,HIGH
6893,FA,4003986,6,100.0,HIGH
6894,FA,4003736,4,100.0,HIGH
6895,FA,4003444,1,100.0,HIGH
6896,FA,4002912,1,100.0,HIGH
6897,FA,4001847,5,100.0,HIGH
6898,FA,4003675,2,100.0,HIGH
6899,FA,4000866,3,100.0,HIGH
6900,FA,4001144,5,100.0,HIGH
6901,FA,4002785,1,100.0,HIGH
6902,FA,4001335,2,100.0,HIGH
6903,FA,4001032,4,100.0,HIGH
6904,FA,4003457,4,100.0,HIGH
6905,FA,4001637,14,100.0,HIGH
6888,FA,4002184,2,100.0,HIGH
6887,FA,4001927,4,100.0,HIGH
6886,FA,4002087,4,100.0,HIGH
6876,FA,4003802,7,100.0,HIGH
6869,FA,4002055,7,100.0,HIGH
6870,FA,4003280,3,100.0,HIGH
6871,FA,4003794,2,100.0,HIGH
6872,FA,4003896,2,100.0,HIGH
6873,FA,4000840,2,100.0,HIGH
6874,FA,4002917,6,100.0,HIGH
6875,FA,4003693,1,100.0,HIGH
6877,FA,4003019,13,100.0,HIGH
6885,FA,4000520,6,100.0,HIGH
6878,FA,4000544,3,100.0,HIGH
6879,FA,4003417,2,100.0,HIGH
6880,FA,4000160,2,100.0,HIGH
6881,FA,4002542,1,100.0,HIGH
6882,FA,4003503,8,100.0,HIGH
6883,FA,4002171,9,100.0,HIGH
6884,FA,4002199,9,100.0,HIGH
6906,FA,4003643,3,100.0,HIGH
6907,FA,4001499,1,100.0,HIGH
6908,FA,4003720,1,100.0,HIGH
6937,FA,4001988,10,100.0,HIGH
6930,FA,4002486,2,100.0,HIGH
6931,FA,4003612,2,100.0,HIGH
6932,FA,4003760,1,100.0,HIGH
6933,FA,4001953,3,100.0,HIGH
6934,FA,4002498,3,100.0,HIGH
6935,FA,4001737,2,100.0,HIGH
6936,FA,4001354,6,100.0,HIGH
6938,FA,4003467,1,100.0,HIGH
6928,FA,4003197,2,100.0,HIGH
6939,FA,4003006,7,100.0,HIGH
6940,FA,4003012,6,100.0,HIGH
6941,FA,4002181,1,100.0,HIGH
6942,FA,4003425,3,100.0,HIGH
6943,FA,4000867,3,100.0,HIGH
6944,FA,4003065,7,100.0,HIGH
6945,FA,4000515,3,100.0,HIGH
6929,FA,4002337,3,100.0,HIGH
6927,FA,4000608,5,100.0,HIGH
6909,FA,4000765,10,100.0,HIGH
6917,FA,4001937,4,100.0,HIGH
6910,FA,4003680,8,100.0,HIGH
6911,FA,4002078,2,100.0,HIGH
6912,FA,4001963,10,100.0,HIGH
6913,FA,4003811,8,100.0,HIGH
6914,FA,4003106,10,100.0,HIGH
6915,FA,4002526,4,100.0,HIGH
6916,FA,4002651,4,100.0,HIGH
6918,FA,4002230,4,100.0,HIGH
6926,FA,4000744,1,100.0,HIGH
6919,FA,4003167,5,100.0,HIGH
6920,FA,4000394,1,100.0,HIGH
6921,FA,4002548,3,100.0,HIGH
6922,FA,4001517,4,100.0,HIGH
6923,FA,4002958,2,100.0,HIGH
6924,FA,4003880,1,100.0,HIGH
6925,FA,4003359,2,100.0,HIGH
6868,FA,4003669,1,100.0,HIGH
6866,FA,4001677,7,100.0,HIGH
6947,FA,4002100,12,100.0,HIGH
6865,FA,4003135,8,100.0,HIGH
6808,FA,4003745,3,100.0,HIGH
6809,FA,4003629,3,100.0,HIGH
6810,FA,4001254,2,100.0,HIGH
6811,FA,4003975,1,100.0,HIGH
6812,FA,4001303,1,100.0,HIGH
6813,FA,4003977,1,100.0,HIGH
6814,FA,4003054,10,100.0,HIGH
6815,FA,4003302,1,100.0,HIGH
6816,FA,4002863,21,100.0,HIGH
6817,FA,4003846,2,100.0,HIGH
6818,FA,4002962,4,100.0,HIGH
6819,FA,4001866,3,100.0,HIGH
6820,FA,4000816,1,100.0,HIGH
6821,FA,4003237,7,100.0,HIGH
6822,FA,4003842,5,100.0,HIGH
6823,FA,4003388,5,100.0,HIGH
6824,FA,4001580,1,100.0,HIGH
6807,FA,4002335,4,100.0,HIGH
6806,FA,4001146,19,100.0,HIGH
6805,FA,4000630,19,100.0,HIGH
6795,FA,4002759,4,100.0,HIGH
6788,FA,4000512,8,100.0,HIGH
6789,FA,4000810,4,100.0,HIGH
6790,FA,4001410,2,100.0,HIGH
6791,FA,4000475,7,100.0,HIGH
6792,FA,4003881,6,100.0,HIGH
6793,FA,4001748,3,100.0,HIGH
6794,FA,4000812,9,100.0,HIGH
6796,FA,4001161,5,100.0,HIGH
6804,FA,4003543,1,100.0,HIGH
6797,FA,4000896,14,100.0,HIGH
6798,FA,4002715,2,100.0,HIGH
6799,FA,4000796,4,100.0,HIGH
6800,FA,4000659,1,100.0,HIGH
6801,FA,4001982,2,100.0,HIGH
6802,FA,4000959,10,100.0,HIGH
6803,FA,4002850,2,100.0,HIGH
6825,FA,4001118,6,100.0,HIGH
6826,FA,4001334,6,100.0,HIGH
6827,FA,4000987,4,100.0,HIGH
6856,FA,4000566,3,100.0,HIGH
6849,FA,4001642,1,100.0,HIGH
6850,FA,4000965,5,100.0,HIGH
6851,FA,4001125,22,100.0,HIGH
6852,FA,4003700,1,100.0,HIGH
6853,FA,4003398,1,100.0,HIGH
6854,FA,4000883,6,100.0,HIGH
6855,FA,4002207,4,100.0,HIGH
6857,FA,4002669,5,100.0,HIGH
6847,FA,4003878,1,100.0,HIGH
6858,FA,4002944,1,100.0,HIGH
6859,FA,4003068,2,100.0,HIGH
6860,FA,4000133,10,100.0,HIGH
6861,FA,4003351,3,100.0,HIGH
6862,FA,4002740,4,100.0,HIGH
6863,FA,4003092,1,100.0,HIGH
6864,FA,4000837,7,100.0,HIGH
6848,FA,4003864,4,100.0,HIGH
6846,FA,4002781,12,100.0,HIGH
6828,FA,4001576,5,100.0,HIGH
6836,FA,4001776,1,100.0,HIGH
6829,FA,4003264,4,100.0,HIGH
6830,FA,4003480,3,100.0,HIGH
6831,FA,4003686,2,100.0,HIGH
6832,FA,4002069,3,100.0,HIGH
6833,FA,4000830,10,100.0,HIGH
6834,FA,4002568,2,100.0,HIGH
6835,FA,4003734,2,100.0,HIGH
6837,FA,4000835,7,100.0,HIGH
6845,FA,4007711,7,100.0,HIGH
6838,FA,4003460,5,100.0,HIGH
6839,FA,4000519,3,100.0,HIGH
6840,FA,4001780,11,100.0,HIGH
6841,FA,4003059,12,100.0,HIGH
6842,FA,4002505,4,100.0,HIGH
6843,FA,4003852,8,100.0,HIGH
6844,FA,4003809,3,100.0,HIGH
6946,FA,4002125,2,100.0,HIGH
6948,FA,4003930,9,100.0,HIGH
6463,FA,4003566,3,100.0,HIGH
7029,FA,4002600,5,100.0,HIGH
7051,FA,4002107,2,100.0,HIGH
7052,FA,4004000,2,100.0,HIGH
7053,FA,4003395,11,100.0,HIGH
7054,FA,4002557,2,100.0,HIGH
7055,FA,4003469,7,100.0,HIGH
7056,FA,4002760,5,100.0,HIGH
7057,FA,4003773,1,100.0,HIGH
7058,FA,4000398,3,100.0,HIGH
7059,FA,4000479,3,100.0,HIGH
7060,FA,4002758,17,100.0,HIGH
7061,FA,4000448,14,100.0,HIGH
7062,FA,4001924,3,100.0,HIGH
7063,FA,4000629,1,100.0,HIGH
7064,FA,4002819,3,100.0,HIGH
7065,FA,4002407,1,100.0,HIGH
7066,FA,4002822,2,100.0,HIGH
7067,FA,4007699,3,100.0,HIGH
7050,FA,4002266,1,100.0,HIGH
7049,FA,4001177,2,100.0,HIGH
7048,FA,4003973,2,100.0,HIGH
7038,FA,4002127,2,100.0,HIGH
7031,FA,4002270,1,100.0,HIGH
7032,FA,4007683,2,100.0,HIGH
7033,FA,4002560,1,100.0,HIGH
7034,FA,4002374,10,100.0,HIGH
7035,FA,4002768,5,100.0,HIGH
7036,FA,4002974,4,100.0,HIGH
7037,FA,4001663,2,100.0,HIGH
7039,FA,4002769,9,100.0,HIGH
7047,FA,4000642,1,100.0,HIGH
7040,FA,4003988,5,100.0,HIGH
7041,FA,4003723,12,100.0,HIGH
7042,FA,4003942,2,100.0,HIGH
7043,FA,4001907,1,100.0,HIGH
7044,FA,4000402,4,100.0,HIGH
7045,FA,4001863,2,100.0,HIGH
7046,FA,4000981,6,100.0,HIGH
7068,FA,4002072,1,100.0,HIGH
7069,FA,4002826,1,100.0,HIGH
7070,FA,4002464,5,100.0,HIGH
7099,FA,4003655,5,100.0,HIGH
7092,FA,4002175,1,100.0,HIGH
7093,FA,4002368,1,100.0,HIGH
7094,FA,4003441,8,100.0,HIGH
7095,FA,4003408,16,100.0,HIGH
7096,FA,4002363,1,100.0,HIGH
7097,FA,4003769,1,100.0,HIGH
7098,FA,4002416,1,100.0,HIGH
7100,FA,4001543,2,100.0,HIGH
7090,FA,4001838,1,100.0,HIGH
7101,FA,4001747,1,100.0,HIGH
7102,FA,4003644,1,100.0,HIGH
7103,FA,4002011,5,100.0,HIGH
7104,FA,4001398,2,100.0,HIGH
7105,FA,4002024,1,100.0,HIGH
7106,FA,4000485,1,100.0,HIGH
7107,FA,4001321,6,100.0,HIGH
7091,FA,4002244,1,100.0,HIGH
7089,FA,4002919,1,100.0,HIGH
7071,FA,4002441,3,100.0,HIGH
7079,FA,4002190,3,100.0,HIGH
7072,FA,4001342,1,100.0,HIGH
7073,FA,4003110,6,100.0,HIGH
7074,FA,4001683,1,100.0,HIGH
7075,FA,4002429,1,100.0,HIGH
7076,FA,4002261,1,100.0,HIGH
7077,FA,4002632,16,100.0,HIGH
7078,FA,4003925,12,100.0,HIGH
