,layer,accuracy_score,precision_score,recall_score,f1_score
0,0,0.36693548387096775,0.3640573904170883,0.36693548387096775,0.35515469666712074
1,1,0.9959677419354839,0.9960130482058717,0.9959677419354839,0.9959669135311562
2,2,1.0,1.0,1.0,1.0
3,3,1.0,1.0,1.0,1.0
4,4,1.0,1.0,1.0,1.0
5,5,0.9919354838709677,0.9921146953405017,0.9919354838709677,0.99193161626252
6,6,1.0,1.0,1.0,1.0
7,7,1.0,1.0,1.0,1.0
8,8,0.9959677419354839,0.9960738539898133,0.9959677419354839,0.9959824046920821
9,9,1.0,1.0,1.0,1.0
10,10,0.9959677419354839,0.9960738539898133,0.9959677419354839,0.9959824046920821
11,11,1.0,1.0,1.0,1.0
12,12,1.0,1.0,1.0,1.0
13,13,0.9879032258064516,0.9887471867966993,0.9879032258064516,0.9880105221996237
14,14,1.0,1.0,1.0,1.0
15,15,1.0,1.0,1.0,1.0
16,16,1.0,1.0,1.0,1.0
17,17,1.0,1.0,1.0,1.0
18,18,1.0,1.0,1.0,1.0
19,19,1.0,1.0,1.0,1.0
20,20,1.0,1.0,1.0,1.0
21,21,0.9959677419354839,0.9960738539898133,0.9959677419354839,0.9959824046920821
22,22,1.0,1.0,1.0,1.0
23,23,1.0,1.0,1.0,1.0
24,24,1.0,1.0,1.0,1.0
25,25,1.0,1.0,1.0,1.0
26,26,1.0,1.0,1.0,1.0
27,27,1.0,1.0,1.0,1.0
28,28,0.9879032258064516,0.9888104838709677,0.9879032258064516,0.9880275572438644
29,29,1.0,1.0,1.0,1.0
30,30,0.9959677419354839,0.9960738539898133,0.9959677419354839,0.9959824046920821
31,31,1.0,1.0,1.0,1.0
32,32,1.0,1.0,1.0,1.0
33,33,1.0,1.0,1.0,1.0
34,34,1.0,1.0,1.0,1.0
35,35,1.0,1.0,1.0,1.0
36,36,1.0,1.0,1.0,1.0
37,37,1.0,1.0,1.0,1.0
38,38,1.0,1.0,1.0,1.0
39,39,1.0,1.0,1.0,1.0
40,40,0.9959677419354839,0.9960738539898133,0.9959677419354839,0.9959824046920821
41,41,1.0,1.0,1.0,1.0
42,42,1.0,1.0,1.0,1.0
43,43,1.0,1.0,1.0,1.0
44,44,0.9959677419354839,0.9960738539898133,0.9959677419354839,0.9959824046920821
45,45,1.0,1.0,1.0,1.0
46,46,1.0,1.0,1.0,1.0
47,47,1.0,1.0,1.0,1.0
48,48,1.0,1.0,1.0,1.0
