,layer,accuracy_score,precision_score,recall_score,f1_score
0,0,0.851985559566787,0.8546324841538602,0.851985559566787,0.852926168815906
1,1,0.98676293622142,0.9869162580116463,0.98676293622142,0.9868089991026673
2,2,0.9927797833935018,0.9927797833935018,0.9927797833935018,0.9927797833935018
3,3,0.9987966305655837,0.9988065757675209,0.9987966305655837,0.9987980508236026
4,4,1.0,1.0,1.0,1.0
5,5,1.0,1.0,1.0,1.0
6,6,1.0,1.0,1.0,1.0
7,7,1.0,1.0,1.0,1.0
8,8,1.0,1.0,1.0,1.0
9,9,1.0,1.0,1.0,1.0
10,10,1.0,1.0,1.0,1.0
11,11,1.0,1.0,1.0,1.0
12,12,1.0,1.0,1.0,1.0
13,13,1.0,1.0,1.0,1.0
14,14,1.0,1.0,1.0,1.0
15,15,1.0,1.0,1.0,1.0
16,16,1.0,1.0,1.0,1.0
17,17,1.0,1.0,1.0,1.0
18,18,1.0,1.0,1.0,1.0
19,19,1.0,1.0,1.0,1.0
20,20,1.0,1.0,1.0,1.0
21,21,1.0,1.0,1.0,1.0
22,22,1.0,1.0,1.0,1.0
23,23,1.0,1.0,1.0,1.0
24,24,1.0,1.0,1.0,1.0
25,25,1.0,1.0,1.0,1.0
26,26,1.0,1.0,1.0,1.0
27,27,1.0,1.0,1.0,1.0
28,28,1.0,1.0,1.0,1.0
29,29,1.0,1.0,1.0,1.0
30,30,1.0,1.0,1.0,1.0
31,31,1.0,1.0,1.0,1.0
32,32,1.0,1.0,1.0,1.0
33,33,1.0,1.0,1.0,1.0
34,34,1.0,1.0,1.0,1.0
35,35,1.0,1.0,1.0,1.0
36,36,1.0,1.0,1.0,1.0
37,37,1.0,1.0,1.0,1.0
38,38,1.0,1.0,1.0,1.0
39,39,1.0,1.0,1.0,1.0
40,40,1.0,1.0,1.0,1.0
41,41,1.0,1.0,1.0,1.0
42,42,1.0,1.0,1.0,1.0
43,43,1.0,1.0,1.0,1.0
44,44,1.0,1.0,1.0,1.0
45,45,1.0,1.0,1.0,1.0
46,46,1.0,1.0,1.0,1.0
47,47,1.0,1.0,1.0,1.0
48,48,1.0,1.0,1.0,1.0
