,layer,accuracy_score,precision_score,recall_score,f1_score
0,0,0.889196675900277,0.8895074657117763,0.889196675900277,0.8893035463903423
1,1,0.9695290858725761,0.9710992647098282,0.9695290858725761,0.9695912210915444
2,2,0.997229916897507,0.9972641154543278,0.997229916897507,0.997231268113615
3,3,0.997229916897507,0.9972584744552646,0.997229916897507,0.997228382325449
4,4,1.0,1.0,1.0,1.0
5,5,1.0,1.0,1.0,1.0
6,6,1.0,1.0,1.0,1.0
7,7,1.0,1.0,1.0,1.0
8,8,0.997229916897507,0.9972584744552646,0.997229916897507,0.997228382325449
9,9,0.997229916897507,0.997258183051614,0.997229916897507,0.9972283087215402
10,10,0.9944598337950139,0.9945949598000136,0.9944598337950139,0.9944648735823349
11,11,0.997229916897507,0.9972641154543278,0.997229916897507,0.997231268113615
12,12,1.0,1.0,1.0,1.0
13,13,1.0,1.0,1.0,1.0
14,14,1.0,1.0,1.0,1.0
15,15,1.0,1.0,1.0,1.0
16,16,1.0,1.0,1.0,1.0
17,17,1.0,1.0,1.0,1.0
18,18,1.0,1.0,1.0,1.0
19,19,1.0,1.0,1.0,1.0
20,20,1.0,1.0,1.0,1.0
21,21,1.0,1.0,1.0,1.0
22,22,1.0,1.0,1.0,1.0
23,23,1.0,1.0,1.0,1.0
24,24,1.0,1.0,1.0,1.0
25,25,1.0,1.0,1.0,1.0
26,26,1.0,1.0,1.0,1.0
27,27,1.0,1.0,1.0,1.0
28,28,1.0,1.0,1.0,1.0
29,29,1.0,1.0,1.0,1.0
30,30,1.0,1.0,1.0,1.0
31,31,1.0,1.0,1.0,1.0
32,32,1.0,1.0,1.0,1.0
33,33,1.0,1.0,1.0,1.0
34,34,1.0,1.0,1.0,1.0
35,35,1.0,1.0,1.0,1.0
36,36,1.0,1.0,1.0,1.0
37,37,1.0,1.0,1.0,1.0
38,38,1.0,1.0,1.0,1.0
39,39,1.0,1.0,1.0,1.0
40,40,1.0,1.0,1.0,1.0
41,41,1.0,1.0,1.0,1.0
42,42,1.0,1.0,1.0,1.0
43,43,1.0,1.0,1.0,1.0
44,44,1.0,1.0,1.0,1.0
45,45,1.0,1.0,1.0,1.0
46,46,1.0,1.0,1.0,1.0
47,47,0.997229916897507,0.9972641154543278,0.997229916897507,0.997231268113615
48,48,1.0,1.0,1.0,1.0
