,layer,accuracy_score,precision_score,recall_score,f1_score
0,0,0.9670731707317073,0.9617049692474596,0.9670731707317073,0.9615782177672473
1,1,0.9814363143631436,0.9799811835756592,0.9814363143631436,0.9805957358550726
2,2,0.9848238482384823,0.9835730454727247,0.9848238482384823,0.9840145309488497
3,3,0.9856368563685637,0.984771736199914,0.9856368563685637,0.9851214920945348
4,4,0.9902439024390244,0.9901054791615902,0.9902439024390244,0.9901238733414613
5,5,0.9886178861788618,0.988323514552438,0.9886178861788618,0.988457637383312
6,6,0.9890243902439024,0.9884007245574575,0.9890243902439024,0.9886727395977338
7,7,0.9898373983739838,0.9891419473492716,0.9898373983739838,0.98941780245219
8,8,0.9892953929539295,0.9885111335961895,0.9892953929539295,0.9888294286113303
9,9,0.9905149051490515,0.9903779646511283,0.9905149051490515,0.9903899136672617
10,10,0.9914634146341463,0.9911249336340647,0.9914634146341463,0.9912715809998044
11,11,0.9892953929539295,0.9889336910552479,0.9892953929539295,0.9891020312679101
12,12,0.9882113821138211,0.988419494309314,0.9882113821138211,0.9883089807801755
13,13,0.9902439024390244,0.9893186278978151,0.9902439024390244,0.989683325274265
14,14,0.9909214092140921,0.9903314479017866,0.9909214092140921,0.9905901458358158
15,15,0.9907859078590786,0.9904733022510506,0.9907859078590786,0.990612069584468
16,16,0.9911924119241192,0.990406524093816,0.9911924119241192,0.9907189461626947
17,17,0.9914634146341463,0.9912642252332516,0.9914634146341463,0.9913602896321366
18,18,0.9905149051490515,0.9901909252321363,0.9905149051490515,0.9903432369395955
19,19,0.9921409214092141,0.9915020705164231,0.9921409214092141,0.9917657558479804
20,20,0.9925474254742548,0.9922006281640761,0.9925474254742548,0.9923455545128795
21,21,0.9909214092140921,0.9906848404409673,0.9909214092140921,0.9907955689402144
22,22,0.9921409214092141,0.9920352262123435,0.9921409214092141,0.9920718601912863
23,23,0.991869918699187,0.9915967652435478,0.991869918699187,0.9917193150668244
24,24,0.9929539295392954,0.992562751063572,0.9929539295392954,0.992729174064237
25,25,0.9937669376693767,0.9934387830794222,0.9937669376693767,0.9935732768307234
26,26,0.9941734417344174,0.9940904531615524,0.9941734417344174,0.9941294957100426
27,27,0.9944444444444445,0.9943163890870569,0.9944444444444445,0.9943764295214895
28,28,0.9948509485094851,0.9947308773964807,0.9948509485094851,0.9947872120523568
29,29,0.9948509485094851,0.9945645943354611,0.9948509485094851,0.994678499146886
30,30,0.9940379403794037,0.9940389004158124,0.9940379403794037,0.9940380751093706
31,31,0.9949864498644987,0.9951556375481729,0.9949864498644987,0.9950645717546398
32,32,0.9948509485094851,0.9949800422557641,0.9948509485094851,0.9949116936831429
33,33,0.996070460704607,0.996071556962398,0.996070460704607,0.9960706635403743
34,34,0.994579945799458,0.9947615531315257,0.994579945799458,0.9946631661278887
35,35,0.9953929539295393,0.9956283922379754,0.9953929539295393,0.995496109849701
36,36,0.9959349593495935,0.996038554811333,0.9959349593495935,0.9959826405828012
37,37,0.996070460704607,0.9960422239028871,0.996070460704607,0.9960554225837127
38,38,0.996070460704607,0.9960175720724165,0.996070460704607,0.9960413304808635
39,39,0.9955284552845528,0.9954661828109319,0.9955284552845528,0.9954947123357375
40,40,0.9957994579945799,0.99577029326028,0.9957994579945799,0.9957839690309741
41,41,0.9964769647696476,0.9965062174929377,0.9964769647696476,0.9964902040431175
42,42,0.9948509485094851,0.995015559955945,0.9948509485094851,0.9949252948709814
43,43,0.9955284552845528,0.9955348697341969,0.9955284552845528,0.9955297243405977
44,44,0.996070460704607,0.9960769360741326,0.996070460704607,0.9960721223442579
45,45,0.9962059620596206,0.9961057122992407,0.9962059620596206,0.9961468511472857
46,46,0.9966124661246613,0.9965167684315845,0.9966124661246613,0.9965568634420491
47,47,0.9964769647696476,0.9964496580819411,0.9964769647696476,0.9964628530340758
48,48,0.9955284552845528,0.9955286670926481,0.9955284552845528,0.9955284257952494
