,layer,accuracy_score,precision_score,recall_score,f1_score
0,0,0.7509025270758123,0.7477228673228966,0.7509025270758123,0.7486301616989081
1,1,0.9638989169675091,0.9640200919434949,0.9638989169675091,0.9639223938428436
2,2,0.9362214199759326,0.9353627597024898,0.9362214199759326,0.9355464031864348
3,3,0.941034897713598,0.9405875859618938,0.941034897713598,0.9407653826928457
4,4,0.9494584837545126,0.9499599890067012,0.9494584837545126,0.9495903653468436
5,5,0.950661853188929,0.9501721637014965,0.950661853188929,0.9502883931283449
6,6,0.9711191335740073,0.9711920893208696,0.9711191335740073,0.9711425017773921
7,7,0.9723225030084236,0.9738353169292938,0.9723225030084236,0.9726694376231672
8,8,0.9771359807460891,0.9769797590199756,0.9771359807460891,0.9770311362289926
9,9,0.9530685920577617,0.9527345463619203,0.9530685920577617,0.952810368300579
10,10,0.9494584837545126,0.9503594423091642,0.9494584837545126,0.949801153187541
11,11,0.9687123947051745,0.9685871250898116,0.9687123947051745,0.968636606074268
12,12,0.9699157641395909,0.9697549441780285,0.9699157641395909,0.9698055109650232
13,13,0.9747292418772563,0.9752154728893074,0.9747292418772563,0.9748992051931206
14,14,0.9939831528279182,0.9940875218419977,0.9939831528279182,0.9940040905012124
15,15,0.9975932611311673,0.9975932611311673,0.9975932611311673,0.9975932611311673
16,16,0.9963898916967509,0.9963903352207942,0.9963898916967509,0.9963863063209013
17,17,0.9963898916967509,0.9964779431187812,0.9963898916967509,0.9964001693038117
18,18,1.0,1.0,1.0,1.0
19,19,1.0,1.0,1.0,1.0
20,20,1.0,1.0,1.0,1.0
21,21,1.0,1.0,1.0,1.0
22,22,1.0,1.0,1.0,1.0
23,23,1.0,1.0,1.0,1.0
24,24,1.0,1.0,1.0,1.0
25,25,1.0,1.0,1.0,1.0
26,26,1.0,1.0,1.0,1.0
27,27,1.0,1.0,1.0,1.0
28,28,1.0,1.0,1.0,1.0
29,29,1.0,1.0,1.0,1.0
30,30,1.0,1.0,1.0,1.0
31,31,1.0,1.0,1.0,1.0
32,32,1.0,1.0,1.0,1.0
33,33,1.0,1.0,1.0,1.0
34,34,1.0,1.0,1.0,1.0
35,35,1.0,1.0,1.0,1.0
36,36,1.0,1.0,1.0,1.0
37,37,1.0,1.0,1.0,1.0
38,38,1.0,1.0,1.0,1.0
39,39,0.9987966305655837,0.9988025006603857,0.9987966305655837,0.9987967734550279
40,40,0.9987966305655837,0.9988025006603857,0.9987966305655837,0.9987967734550279
41,41,1.0,1.0,1.0,1.0
42,42,1.0,1.0,1.0,1.0
43,43,1.0,1.0,1.0,1.0
44,44,1.0,1.0,1.0,1.0
45,45,1.0,1.0,1.0,1.0
46,46,1.0,1.0,1.0,1.0
47,47,1.0,1.0,1.0,1.0
48,48,1.0,1.0,1.0,1.0
