,layer,accuracy_score,precision_score,recall_score,f1_score
0,0,0.9518970189701897,0.9368797976232508,0.9518970189701897,0.9431587452700152
1,1,0.9789972899728997,0.9763671578262395,0.9789972899728997,0.9774127315316781
2,2,0.9823848238482384,0.979854957333006,0.9823848238482384,0.9808778387002812
3,3,0.9821138211382113,0.9789118577689391,0.9821138211382113,0.9801640964944484
4,4,0.9822493224932249,0.977520342318346,0.9822493224932249,0.9796439002510505
5,5,0.9842818428184282,0.9814469232960628,0.9842818428184282,0.9824468777347
6,6,0.9830623306233063,0.979849850072808,0.9830623306233063,0.9811878487913998
7,7,0.9823848238482384,0.9785114863492335,0.9823848238482384,0.9801854940815998
8,8,0.983739837398374,0.979362620195313,0.983739837398374,0.981238996004205
9,9,0.9853658536585366,0.9827063632212474,0.9853658536585366,0.9834727544479297
10,10,0.9842818428184282,0.9819305138061599,0.9842818428184282,0.982904486569368
11,11,0.9848238482384823,0.9811793036864171,0.9848238482384823,0.9827269333629349
12,12,0.9865853658536585,0.9844040330989005,0.9865853658536585,0.9852695629790681
13,13,0.9857723577235772,0.9823498505395996,0.9857723577235772,0.9837144765037281
14,14,0.986449864498645,0.9848158357602521,0.986449864498645,0.9854912205986378
15,15,0.9872628726287263,0.9846218629000275,0.9872628726287263,0.9855473229713799
16,16,0.9841463414634146,0.9817403162633059,0.9841463414634146,0.9828060326587931
17,17,0.9857723577235772,0.9821378028214471,0.9857723577235772,0.983681040967061
18,18,0.9842818428184282,0.981488847913624,0.9842818428184282,0.9827372004214481
19,19,0.984959349593496,0.982731517730186,0.984959349593496,0.9837391590896751
20,20,0.9882113821138211,0.9874490650456983,0.9882113821138211,0.9877923758381322
21,21,0.987669376693767,0.9861683540218378,0.987669376693767,0.9867994907616544
22,22,0.989159891598916,0.9881689665047155,0.989159891598916,0.9885883824946754
23,23,0.9882113821138211,0.9873884717387611,0.9882113821138211,0.9877493138226251
24,24,0.9892953929539295,0.9888822547613981,0.9892953929539295,0.9890398223592416
25,25,0.99159891598916,0.9907578079424505,0.99159891598916,0.9910568946055996
26,26,0.9902439024390244,0.9898928950651245,0.9902439024390244,0.9900475752405938
27,27,0.9899728997289973,0.9887140695696409,0.9899728997289973,0.9891987619465876
28,28,0.9898373983739838,0.9888575431350858,0.9898373983739838,0.9892503962287802
29,29,0.9895663956639567,0.9884700513557727,0.9895663956639567,0.9889333652271395
30,30,0.9895663956639567,0.9890086957564531,0.9895663956639567,0.9892651271719869
31,31,0.9882113821138211,0.9873737403329755,0.9882113821138211,0.9877374913474969
32,32,0.9907859078590786,0.990477125397958,0.9907859078590786,0.9906195328013717
33,33,0.9901084010840109,0.9890664784476952,0.9901084010840109,0.9895137576158266
34,34,0.9901084010840109,0.9896250795841053,0.9901084010840109,0.9898455215600273
35,35,0.9887533875338753,0.9879325055473448,0.9887533875338753,0.9882988936051396
36,36,0.9890243902439024,0.9878681110838635,0.9890243902439024,0.9883478465235609
37,37,0.9883468834688347,0.9871757998659593,0.9883468834688347,0.9876784990194937
38,38,0.9902439024390244,0.989335503903423,0.9902439024390244,0.9897049039674266
39,39,0.9901084010840109,0.9893437754473667,0.9901084010840109,0.9896326494748224
40,40,0.989159891598916,0.9882665295801145,0.989159891598916,0.9886275987620966
41,41,0.9897018970189702,0.9886926820785837,0.9897018970189702,0.9890802262866241
42,42,0.9892953929539295,0.9884006953032206,0.9892953929539295,0.9887706212712448
43,43,0.9897018970189702,0.988763168249669,0.9897018970189702,0.9891756126905106
44,44,0.9899728997289973,0.989226091274716,0.9899728997289973,0.9895382177677601
45,45,0.9910569105691057,0.9900693853145134,0.9910569105691057,0.9903323132165429
46,46,0.990379403794038,0.9897278820474189,0.990379403794038,0.9900039926897239
47,47,0.9897018970189702,0.9891809021707939,0.9897018970189702,0.9894029340531351
48,48,0.9886178861788618,0.9884040405653552,0.9886178861788618,0.9885027730820637
