,layer,accuracy_score,precision_score,recall_score,f1_score
0,0,1.0,1.0,1.0,1.0
1,1,0.8947368421052632,0.8947951847109035,0.8947368421052632,0.894719882412799
2,2,0.9806094182825484,0.9806172898697681,0.9806094182825484,0.9805981610507821
3,3,0.9058171745152355,0.9065362897906908,0.9058171745152355,0.9059743473947353
4,4,0.850415512465374,0.8499521478609443,0.850415512465374,0.8500087170447282
5,5,1.0,1.0,1.0,1.0
6,6,0.9501385041551247,0.9503367837877242,0.9501385041551247,0.9500080449823228
7,7,0.9889196675900277,0.9890182367428114,0.9889196675900277,0.9889066540194039
8,8,0.997229916897507,0.9972584744552646,0.997229916897507,0.997229916897507
9,9,0.9861495844875346,0.9861651284746685,0.9861495844875346,0.9861419116272447
10,10,0.9445983379501385,0.9454381368997631,0.9445983379501385,0.9445536879968424
11,11,1.0,1.0,1.0,1.0
12,12,1.0,1.0,1.0,1.0
13,13,0.997229916897507,0.9972641154543278,0.997229916897507,0.9972313432589667
14,14,0.9695290858725761,0.9696791020613735,0.9695290858725761,0.9694699745256964
15,15,1.0,1.0,1.0,1.0
16,16,1.0,1.0,1.0,1.0
17,17,1.0,1.0,1.0,1.0
18,18,1.0,1.0,1.0,1.0
19,19,0.9667590027700831,0.967944340655801,0.9667590027700831,0.9668235985672652
20,20,1.0,1.0,1.0,1.0
21,21,0.9168975069252078,0.9168975069252078,0.9168975069252078,0.9168975069252078
22,22,0.997229916897507,0.9972641154543278,0.997229916897507,0.9972313432589667
23,23,0.8670360110803325,0.866680909233947,0.8670360110803325,0.8666744151508694
24,24,0.925207756232687,0.9251591898406303,0.925207756232687,0.9250626647448911
25,25,0.9224376731301939,0.9226929901606933,0.9224376731301939,0.9225124824732396
26,26,0.9085872576177285,0.9087069525666016,0.9085872576177285,0.9086343275459015
27,27,0.8310249307479224,0.8321868070364361,0.8310249307479224,0.8313500391062718
28,28,0.8448753462603878,0.8443168915895247,0.8448753462603878,0.8435065993156265
29,29,0.7811634349030471,0.7796182159964272,0.7811634349030471,0.7799679566428356
30,30,0.9722991689750693,0.9734799761856386,0.9722991689750693,0.9723577518655987
31,31,0.9944598337950139,0.9945949598000136,0.9944598337950139,0.9944651773195171
32,32,0.889196675900277,0.8897329403193177,0.889196675900277,0.8882189995111618
33,33,0.9944598337950139,0.9945949598000136,0.9944598337950139,0.9944651773195171
34,34,0.997229916897507,0.9972641154543278,0.997229916897507,0.9972313432589667
35,35,0.9944598337950139,0.9945949598000136,0.9944598337950139,0.9944651773195171
36,36,0.9916897506925207,0.9917292927738449,0.9916897506925207,0.9916940297769001
