,layer,accuracy_score,precision_score,recall_score,f1_score
0,0,0.9631436314363143,0.9564439007510428,0.9631436314363143,0.9578700324696906
1,1,0.9746612466124661,0.971049199464369,0.9746612466124661,0.9720669511464712
2,2,0.9754742547425475,0.9722821842679508,0.9754742547425475,0.973026219499799
3,3,0.9754742547425475,0.9723951482729729,0.9754742547425475,0.9732112271409146
4,4,0.9747967479674797,0.9711552412282991,0.9747967479674797,0.9723780054361664
5,5,0.9738482384823848,0.9702448452877808,0.9738482384823848,0.9711794843657282
6,6,0.9753387533875338,0.9719693064789936,0.9753387533875338,0.9729038456749008
7,7,0.9749322493224932,0.9717640688481626,0.9749322493224932,0.9724965283258976
8,8,0.9750677506775067,0.9714953048454302,0.9750677506775067,0.9724205137518083
9,9,0.9722222222222222,0.9689386156428368,0.9722222222222222,0.9699020117309743
10,10,0.973170731707317,0.9701493386107412,0.973170731707317,0.9708810274017747
11,11,0.9753387533875338,0.9722335305791315,0.9753387533875338,0.9730847485412594
12,12,0.9739837398373984,0.9703929397350058,0.9739837398373984,0.9714950597336721
13,13,0.9754742547425475,0.9717046389756191,0.9754742547425475,0.972867064837356
14,14,0.9735772357723578,0.9696041931922245,0.9735772357723578,0.9709467906210935
15,15,0.9734417344173442,0.9692236871044616,0.9734417344173442,0.9704763548085285
16,16,0.9735772357723578,0.97015400284453,0.9735772357723578,0.9711058462988519
17,17,0.9724932249322493,0.9680595792646922,0.9724932249322493,0.9697463171561866
18,18,0.9734417344173442,0.9689462872592779,0.9734417344173442,0.9704590611050798
19,19,0.9724932249322493,0.968602433127974,0.9724932249322493,0.9699924957340652
20,20,0.9703252032520325,0.9661331905072004,0.9703252032520325,0.9676776322791321
21,21,0.9714092140921409,0.9665835972747447,0.9714092140921409,0.9680189625239649
22,22,0.9693766937669377,0.9646456445994984,0.9693766937669377,0.9664099088198169
23,23,0.9673441734417344,0.9636490272144327,0.9673441734417344,0.9650267658860121
24,24,0.9715447154471545,0.9666625305288544,0.9715447154471545,0.9679571716175119
25,25,0.9669376693766938,0.9625403589036055,0.9669376693766938,0.963831773499726
26,26,0.9693766937669377,0.9642915626037629,0.9693766937669377,0.9657029123343589
27,27,0.9696476964769648,0.9644923837196497,0.9696476964769648,0.9661313460506876
28,28,0.9703252032520325,0.9658872319739052,0.9703252032520325,0.9669105261046672
29,29,0.9672086720867209,0.9620139588859966,0.9672086720867209,0.9636329526399587
30,30,0.9669376693766938,0.9612594216570504,0.9669376693766938,0.9633163898613745
31,31,0.9676151761517615,0.9630848058006165,0.9676151761517615,0.9644929365844586
32,32,0.9681571815718157,0.9629853141416378,0.9681571815718157,0.9643930168060877
33,33,0.967479674796748,0.9619979199265816,0.967479674796748,0.9634120026725643
34,34,0.9682926829268292,0.9632909590783485,0.9682926829268292,0.9647160752391556
35,35,0.9663956639566396,0.9615158075745234,0.9663956639566396,0.9629433547637167
36,36,0.9680216802168021,0.9630019790899781,0.9680216802168021,0.9643069674117465
