,TP,CL,CF,SF,FA
0,1,1000003,2001375,3002300,4007431
1,1,1000001,2000062,3001746,4005266
2,1,1000002,2000016,3001156,4003632
3,1,1000002,2000016,3001156,4003632
4,2,1000000,2000339,3000473,4007725
5,1,1000002,2000773,3001255,4000755
6,1,1000002,2000016,3001156,4003632
7,1,1000000,2000963,3001572,4001447
8,1,1000003,2000014,3001272,4002808
9,1,1000002,2000016,3001156,4003632
10,1,1000001,2000296,3000388,4001790
11,1,1000003,2001569,3001808,4002391
12,1,1000002,2000016,3001156,4003632
13,1,1000001,2000296,3000388,4001790
14,1,1000002,2000607,3000954,4000675
15,1,1000002,2000016,3001156,4003632
16,1,1000003,2000685,3001067,4002302
17,1,1000000,2000033,3000053,4000260
18,1,1000002,2000016,3001156,4003632
19,1,1000003,2000318,3000430,4001833
20,1,1000004,2000049,3000068,4006236
21,1,1000002,2000016,3001156,4003632
22,1,1000003,2001044,3001706,4003874
23,1,1000004,2000112,3001320,4002852
24,1,1000002,2000016,3001156,4003632
25,1,1000001,2001151,3000539,4001900
26,4,1000004,2001305,3002190,4005067
27,1,1000002,2000016,3001156,4003632
28,1,1000002,2000607,3000954,4000672
29,1,1000003,2000842,3001390,4002534
30,1,1000002,2000016,3001156,4003632
31,1,1000002,2000031,3000216,4003291
32,4,1000000,2001080,3001756,4001518
33,4,1000004,2001271,3002871,4005779
34,1,1000002,2000016,3001156,4003632
35,1,1000000,2000030,3002873,4006069
36,1,1000003,2001065,3001733,4001510
37,1,1000002,2000016,3001156,4003632
38,1,1000000,2000030,3002873,4006069
39,1,1000000,2000030,3002873,4006069
40,1,1000002,2000325,3000451,4000503
41,1,1000002,2000016,3001156,4003632
42,1,1000001,2001649,3002872,4006067
43,1,1000004,2000181,3000309,4003136
44,1,1000002,2000016,3001156,4003632
45,1,1000000,2000085,3002874,4006110
46,1,1000001,2001649,3002872,4007845
47,1,1000002,2000067,3000571,4000555
48,1,1000002,2000016,3001156,4003632
49,1,1000003,2001087,3001770,4001481
50,1,1000001,2000813,3001342,4002506
51,1,1000002,2000016,3001156,4003632
52,1,1000003,2000508,3000790,4003406
53,1,1000002,2001032,3001679,4000849
54,1,1000002,2000016,3001156,4003632
55,1,1000002,2000060,3000083,4000229
56,1,1000001,2000543,3000856,4002129
57,1,1000002,2000016,3001156,4003632
58,1,1000001,2000089,3000120,4001665
59,2,1000000,2000269,3000343,4001763
60,1,1000002,2000016,3001156,4003632
61,2,1000000,2001341,3002214,4006109
62,2,1000000,2000269,3000343,4001763
63,1,1000002,2000016,3001156,4003632
64,1,1000003,2000439,3000680,4001077
65,1,1000002,2000408,3000647,4000577
66,1,1000002,2000016,3001156,4003632
67,1,1000003,2000081,3000131,4002254
68,1,1000001,2000051,3002045,4007526
69,1,1000002,2000016,3001156,4003632
70,1,1000003,2000081,3000131,4002254
71,1,1000003,2000014,3000474,4003239
72,1,1000002,2000016,3001156,4003632
73,1,1000003,2000081,3000131,4002254
74,1,1000001,2000100,3000135,4001909
75,1,1000002,2000016,3001156,4003632
76,1,1000003,2000081,3000131,4002254
77,1,1000003,2000014,3001336,4001240
78,1,1000002,2000016,3001156,4003632
79,1,1000003,2000081,3000131,4002254
80,1,1000003,2000449,3000686,4001081
81,1,1000002,2000016,3001156,4003632
82,1,1000003,2000081,3000131,4002254
83,1,1000001,2000100,3000135,4001909
84,1,1000002,2000016,3001156,4003632
85,1,1000003,2000081,3000131,4002254
86,1,1000004,2000049,3000068,4003647
87,1,1000002,2000016,3001156,4003632
88,1,1000003,2000081,3000131,4002254
89,1,1000003,2000459,3000709,4002027
90,1,1000002,2000016,3001156,4003632
91,1,1000003,2001216,3001966,4003961
92,1,1000003,2000081,3000131,4002254
93,4,1000004,2001305,3002159,4006173
94,1,1000000,2000033,3000053,4000260
95,1,1000002,2000016,3001156,4003632
96,1,1000001,2000100,3000135,4001909
97,1,1000003,2000686,3001078,4001212
98,1,1000003,2000439,3000680,4001077
99,1,1000002,2000067,3000571,4000555
100,1,1000002,2000016,3001156,4003632
101,1,1000003,2000635,3000995,4003526
102,1,1000003,2000072,3000100,4000951
103,1,1000002,2000016,3001397,4003744
104,1,1000003,2000906,3001473,4001399
105,1,1000002,2000016,3001156,4003632
106,1,1000003,2000449,3000686,4001081
107,1,1000001,2001151,3000539,4001900
108,1,1000003,2000099,3000126,4000207
109,1,1000003,2000072,3000100,4000951
110,1,1000002,2000016,3001156,4003632
111,1,1000003,2000459,3000709,4002027
112,1,1000001,2000073,3000811,4002103
113,1,1000003,2000389,3000576,4001049
114,1,1000000,2000786,3001284,4000767
115,1,1000002,2000016,3001156,4003632
116,1,1000003,2000906,3001473,4001399
117,1,1000003,2000389,3000576,4001049
118,1,1000002,2000016,3001156,4003632
119,1,1000002,2000723,3001134,4003623
120,1,1000002,2000220,3000260,4000424
121,1,1000002,2000016,3001156,4003632
122,1,1000003,2001048,3001709,4001498
123,1,1000002,2000025,3001541,4003807
124,1,1000002,2000016,3001156,4003632
125,1,1000000,2000033,3000053,4000260
126,1,1000002,2001153,3001890,4002304
127,1,1000002,2000016,3001156,4003632
128,1,1000001,2001232,3002005,4001630
129,1,1000002,2000056,3000077,4000691
130,1,1000002,2000016,3001156,4003632
131,1,1000002,2000731,3001146,4003628
132,1,1000002,2000689,3001081,4002431
133,1,1000002,2000016,3001156,4003632
134,1,1000001,2000090,3000334,4001752
135,1,1000000,2000114,3001387,4007464
136,1,1000002,2000016,3001156,4003632
137,1,1000004,2000816,3001346,4003715
138,1,1000004,2000112,3001238,4003934
139,1,1000002,2000016,3001156,4003632
140,1,1000002,2000016,3001156,4003632
141,1,1000004,2000112,3001320,4000511
142,1,1000000,2001302,3002127,4007442
143,1,1000002,2000016,3001156,4003632
144,1,1000002,2000016,3001156,4003632
145,1,1000001,2000090,3000334,4001761
146,1,1000000,2000120,3001983,4000924
147,1,1000002,2000016,3001156,4003632
148,1,1000002,2000016,3001156,4003632
149,1,1000000,2000512,3000799,4001112
150,1,1000002,2000031,3000510,4003274
151,1,1000001,2000083,3000114,4002263
152,1,1000002,2000016,3001156,4003632
153,1,1000002,2000016,3001156,4003632
154,1,1000003,2000014,3001336,4001240
155,3,1000000,2000989,3001616,4003840
156,1,1000002,2000016,3001156,4003632
157,1,1000002,2000016,3001156,4003632
158,1,1000003,2000538,3000884,4003717
159,1,1000003,2000047,3000471,4003660
160,1,1000001,2000100,3000135,4001909
161,1,1000002,2000408,3000626,4000573
162,1,1000003,2000097,3000399,4000998
163,1,1000002,2000662,3001045,4003555
164,1,1000001,2000522,3000868,4002137
165,1,1000001,2000083,3000114,4002263
166,1,1000003,2000097,3000399,4000998
167,1,1000003,2000439,3000680,4001077
168,1,1000002,2000060,3000083,4000229
169,1,1000001,2000083,3000114,4002263
170,1,1000000,2000036,3000713,4000600
171,1,1000002,2000060,3000083,4000229
172,1,1000001,2000051,3000070,4007569
173,1,1000003,2000837,3001378,4001360
174,1,1000000,2000619,3000970,4002626
175,1,1000001,2000051,3000070,4007569
176,1,1000004,2000049,3000068,4003647
177,1,1000002,2000076,3000102,4000703
178,1,1000001,2000051,3000070,4007569
179,1,1000002,2000067,3000571,4000555
180,1,1000001,2000051,3000070,4007569
181,1,1000000,2000786,3001284,4000767
182,1,1000003,2000980,3001604,4002685
183,1,1000001,2000051,3000070,4007569
184,1,1000001,2000737,3001161,4002376
185,1,1000001,2000089,3000120,4002742
186,1,1000001,2000051,3000070,4007569
187,1,1000002,2000077,3000104,4000492
188,4,1000004,2001305,3002159,4006173
189,1,1000002,2000016,3001405,4003747
190,1,1000001,2000051,3000070,4007569
191,1,1000000,2000080,3001489,4000807
192,1,1000003,2000508,3000790,4003406
193,4,1000004,2001305,3002159,4006173
194,1,1000001,2000051,3000070,4007569
195,1,1000003,2001142,3001871,4001578
196,1,1000004,2000112,3001320,4000508
197,1,1000003,2000014,3001323,4001337
198,1,1000001,2000051,3000070,4007569
199,1,1000003,2001142,3001871,4001578
200,1,1000000,2000187,3000563,4001930
201,1,1000004,2000112,3001320,4000508
202,1,1000001,2000051,3000070,4007569
203,1,1000003,2001142,3001871,4001578
204,1,1000002,2000016,3001397,4003744
205,1,1000001,2000737,3001161,4002376
206,1,1000001,2000051,3000070,4007569
207,1,1000003,2001142,3001871,4001578
208,1,1000003,2000014,3001323,4001337
209,1,1000001,2000100,3000135,4001909
210,1,1000003,2001142,3001871,4001578
211,1,1000003,2001216,3001966,4003966
212,1,1000000,2000512,3000799,4001112
213,1,1000001,2000051,3000070,4007569
214,1,1000003,2001142,3001871,4001578
215,1,1000004,2000892,3001452,4003764
216,1,1000000,2000187,3000563,4001930
217,1,1000001,2000051,3000070,4007569
218,1,1000003,2001142,3001871,4001578
219,1,1000001,2000051,3000071,4007530
220,1,1000003,2000508,3000790,4003406
221,1,1000001,2000051,3000070,4007569
222,1,1000003,2001142,3001871,4001578
